Timestamp	Filename	Error	Message
2015-08-11 15:08:42.940 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:16:16.866 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:16:16.867 -0400	writeToFile ( content, targetFilePath, append )	0	script steps imported : 1
2015-08-11 15:16:16.867 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:23:28.738 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:23:28.739 -0400	xattr ( filePath, args, attr_name, targetField )	0	script steps imported : 1
2015-08-11 15:23:28.739 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:25:01.442 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:25:01.443 -0400	open ( filePath )	0	script steps imported : 1
2015-08-11 15:25:01.443 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:25:25.401 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:25:25.402 -0400	open ( filePath )	0	script steps imported : 3
2015-08-11 15:25:25.402 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:27:43.432 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:27:43.433 -0400	open ( filePath, app, args )	0	script steps imported : 1
2015-08-11 15:27:43.433 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 15:28:22.164 -0400	fileSystem.fmp12	0	Import of script steps from clipboard started
2015-08-11 15:28:22.166 -0400	open ( filePath, app, args )	0	script steps imported : 1
2015-08-11 15:28:22.166 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 16:22:14.273 -0400	fileSystem.fmp12	0	Import operations started
2015-08-11 16:22:14.273 -0400	fileSystem.fmp12	0	Import of fields from clipboard started
2015-08-11 16:22:14.281 -0400	projectStructure	0	fields imported : 8
2015-08-11 16:22:14.281 -0400	fileSystem.fmp12	0	Import completed
2015-08-11 16:27:43.586 -0400	fileSystem.fmp12	0	Import operations committed
2015-08-11 16:27:43.587 -0400	fileSystem.fmp12	0	==================================================================
